,zip_code,bed_bath_rooms,avg_price,min_price,max_price
83,10005,0b0bh,0.0,0,0
84,10007,5b7bh,29500000.0,29500000,29500000
85,10007,5b8bh,15750000.0,15750000,15750000
86,10001,2b2bh,2694791.62,1550000,4200000
87,10001,3b3bh,4948636.36,2550000,7895000
88,10001,3b2bh,3261000.0,2595000,4495000
89,10001,3b4bh,6882083.33,4500000,9515000
90,10001,2b1bh,1395000.0,1395000,1395000
91,10003,3b4bh,6317692.31,2395000,11000000
92,10003,1b2bh,1978470.86,663888,2995000
93,10002,2b1bh,895842.11,689000,1495000
94,10004,4b4bh,5930000.0,3995000,7495000
95,10004,1b2bh,1246666.67,975000,1450000
96,10004,3b4bh,3781500.0,2975000,4680000
97,10004,1b1bh,989237.5,675000,1425000
98,10004,0b0bh,0.0,0,0
99,10005,3b3bh,2888333.33,2450000,3295000
100,10005,1b1bh,1076964.25,520000,1385000
101,10005,0b1bh,937823.53,510000,1425000
102,10005,2b1bh,1922500.0,1350000,2495000
103,10006,2b2bh,3283700.0,1575000,9650000
104,10007,5b11bh,29450000.0,18900000,40000000
105,10007,3b3bh,5452000.0,3875000,9300000
106,10007,1b1bh,1371533.33,995000,1920000
107,10007,5b6bh,14995000.0,14995000,14995000
108,10001,4b7bh,32000000.0,32000000,32000000
109,10003,5b5bh,11622500.0,9995000,13250000
110,10003,4b5bh,8005000.0,6270000,10500000
111,10003,4b10bh,46500000.0,46500000,46500000
112,10003,8b7bh,5200000.0,5200000,5200000
113,10002,0b1bh,859150.0,438000,1195000
114,10004,2b1bh,1100000.0,1100000,1100000
115,10007,4b10bh,15150000.0,15150000,15150000
116,10004,3b3bh,3734000.0,2985000,4900000
117,10005,0b2bh,1230000.0,1230000,1230000
118,10007,2b0bh,2000000.0,2000000,2000000
119,10007,5b5bh,6495000.0,6495000,6495000
